Prop_0,trans_id,account_id,type,operation,amount,balance,k_symbol,bank,account,year,month,day,fulldate,fulltime,fulldatewithtime,_c0
,T00695247,A00002378,Credit,Credit in Cash,700,700,,,NA,2013,1,1,2013-01-01,11:02:40,2013-01-01T11:02:40,1
,T00171812,A00000576,Credit,Credit in Cash,900,900,,,NA,2013,1,1,2013-01-01,08:23:33,2013-01-01T08:23:33,2
,T00207264,A00000704,Credit,Credit in Cash,1000,1000,,,NA,2013,1,1,2013-01-01,15:19:21,2013-01-01T15:19:21,3
,T01117247,A00003818,Credit,Credit in Cash,600,600,,,NA,2013,1,1,2013-01-01,10:42:35,2013-01-01T10:42:35,4
,T00579373,A00001972,Credit,Credit in Cash,400,400,,,NA,2013,1,2,2013-01-02,11:39:25,2013-01-02T11:39:25,5
,T00771035,A00002632,Credit,Credit in Cash,1100,1100,,,NA,2013,1,2,2013-01-02,15:15:12,2013-01-02T15:15:12,6
,T00452728,A00001539,Credit,Credit in Cash,600,600,,,NA,2013,1,3,2013-01-03,09:34:29,2013-01-03T09:34:29,7
,T00725751,A00002484,Credit,Credit in Cash,1100,1100,,,NA,2013,1,3,2013-01-03,09:36:35,2013-01-03T09:36:35,8
,T00497211,A00001695,Credit,Credit in Cash,200,200,,,NA,2013,1,3,2013-01-03,15:22:23,2013-01-03T15:22:23,9
,T00232960,A00000793,Credit,Credit in Cash,800,800,,,NA,2013,1,3,2013-01-03,15:08:16,2013-01-03T15:08:16,10
,T00505240,A00001726,Credit,Credit in Cash,1000,1000,,,NA,2013,1,3,2013-01-03,13:54:49,2013-01-03T13:54:49,11
,T00144541,A00000485,Credit,Credit in Cash,300,300,,,NA,2013,1,4,2013-01-04,16:40:53,2013-01-04T16:40:53,12
,T00637741,A00002177,Credit,Credit in Cash,800,800,,,NA,2013,1,4,2013-01-04,10:30:59,2013-01-04T10:30:59,13
,T00689827,A00002357,Credit,Credit in Cash,800,800,,,NA,2013,1,4,2013-01-04,16:29:16,2013-01-04T16:29:16,14
,T00846006,A00002881,Credit,Credit in Cash,700,700,,,NA,2013,1,4,2013-01-04,09:29:01,2013-01-04T09:29:01,15
,T00637742,A00002177,Credit,Collection from Another Bank,5123,5923,Old Age Pension,State Street Corp.,62457513,2013,1,5,2013-01-05,16:44:42,2013-01-05T16:44:42,16
,T02908688,A00009635,Credit,Credit in Cash,400,400,,,NA,2013,1,5,2013-01-05,13:32:11,2013-01-05T13:32:11,17
,T00232961,A00000793,Credit,Collection from Another Bank,3401,4201,,Goldman Sachs,6149286,2013,1,5,2013-01-05,11:56:11,2013-01-05T11:56:11,18
,T00192096,A00000652,Credit,Credit in Cash,700,700,,,NA,2013,1,5,2013-01-05,09:28:49,2013-01-05T09:28:49,19
,T00542215,A00001844,Credit,Credit in Cash,500,500,,,NA,2013,1,6,2013-01-06,14:38:54,2013-01-06T14:38:54,20
,T00565654,A00001926,Credit,Credit in Cash,700,700,,,NA,2013,1,6,2013-01-06,11:41:28,2013-01-06T11:41:28,21
,T00542216,A00001844,Credit,Collection from Another Bank,3242,3742,,Capital One,42988401,2013,1,7,2013-01-07,10:11:45,2013-01-07T10:11:45,22
,T01027725,A00003510,Credit,Credit in Cash,500,500,,,NA,2013,1,7,2013-01-07,08:59:48,2013-01-07T08:59:48,23
,T00374589,A00001276,Credit,Credit in Cash,400,400,,,NA,2013,1,7,2013-01-07,13:53:48,2013-01-07T13:53:48,24
,T00579374,A00001972,Credit,Collection from Another Bank,5298,5698,Old Age Pension,Bank of New York Mellon Corp.,14132887,2013,1,7,2013-01-07,08:09:01,2013-01-07T08:09:01,25
,T00699220,A00002393,Credit,Credit in Cash,900,900,,,NA,2013,1,7,2013-01-07,09:44:19,2013-01-07T09:44:19,26
,T00129502,A00000435,Credit,Credit in Cash,400,400,,,NA,2013,1,8,2013-01-08,11:33:46,2013-01-08T11:33:46,27
,T00374590,A00001276,Credit,Credit in Cash,6774,7174,,,NA,2013,1,8,2013-01-08,10:41:24,2013-01-08T10:41:24,28
,T00057433,A00000192,Credit,Credit in Cash,300,300,,,NA,2013,1,8,2013-01-08,11:27:40,2013-01-08T11:27:40,29
